,playerID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,post_G,post_AB,post_R,post_H,post_2B,post_3B,post_HR,post_RBI,post_SB,post_CS,post_BB,post_SO,post_IBB,post_HBP,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
3391,clarkbr02,785.0,0.0,2015.0,264.0,559.0,97.0,7.0,36.0,210.0,48.0,33.0,208.0,252.0,12.0,54.0,23.0,18.0,55.0,0.0,,,,,,,,,,,,,,,,,,642.0,455.0,13104.0,1217.0,17.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,9.0
3392,clarkbu01,14.0,0.0,25.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3393,clarkca01,52.0,0.0,74.0,11.0,19.0,1.0,1.0,0.0,4.0,0.0,0.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,29.0,0.0,0.0,65.0,8.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3394,clarkco01,16.0,0.0,38.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,16.0,10.0,306.0,87.0,11.0,1.0,2.0,2.0,0.0,6.0,7.0,0.0,,,,,,,,,,,,,1.0
3395,clarkda01,123.0,0.0,360.0,41.0,78.0,5.0,4.0,1.0,28.0,1.0,0.0,28.0,50.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,122.0,0.0,2559.0,42.0,165.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7.0
3396,clarkda02,98.0,0.0,273.0,33.0,44.0,2.0,1.0,1.0,18.0,1.0,0.0,37.0,73.0,0.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,97.0,0.0,2118.0,31.0,162.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0
3397,clarkda03,12.0,0.0,43.0,1.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,12.0,0.0,315.0,115.0,6.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3398,clarkda04,245.0,0.0,582.0,75.0,161.0,36.0,8.0,5.0,93.0,5.0,7.0,74.0,37.0,0.0,2.0,19.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,147.0,0.0,0.0,192.0,277.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
3399,clarkda05,905.0,0.0,1964.0,248.0,518.0,81.0,8.0,62.0,284.0,19.0,12.0,222.0,451.0,21.0,5.0,4.0,16.0,58.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,433.0,351.0,9057.0,661.0,18.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,13.0
3400,clarkda06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3401,clarkdo01,14.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
3402,clarkea01,293.0,0.0,826.0,122.0,240.0,41.0,7.0,4.0,81.0,11.0,0.0,37.0,79.0,0.0,4.0,26.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,222.0,0.0,0.0,569.0,14.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0
3403,clarked01,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3404,clarkfr01,2246.0,0.0,8584.0,1622.0,2678.0,361.0,220.0,67.0,1015.0,509.0,0.0,875.0,511.0,0.0,154.0,225.0,0.0,0.0,0.0,15.0,53.0,10.0,13.0,2.0,1.0,2.0,9.0,4.0,0.0,6.0,8.0,0.0,1.0,4.0,1.0,0.0,2200.0,878.0,55116.0,4812.0,266.0,266.0,43.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,393.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
3405,clarkge01,11.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3406,clarkgi01,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3407,clarkgl01,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3408,clarkgr01,63.0,0.0,169.0,14.0,44.0,10.0,1.0,0.0,27.0,0.0,4.0,22.0,6.0,0.0,2.0,1.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,45.0,0.0,0.0,36.0,107.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3409,clarkha01,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3410,clarkhe01,9.0,0.0,29.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,9.0,0.0,192.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
3411,clarkho01,1272.0,0.0,4813.0,548.0,1230.0,150.0,23.0,27.0,304.0,151.0,58.0,365.0,362.0,18.0,11.0,29.0,24.0,77.0,0.0,,,,,,,,,,,,,,,,,,1187.0,1137.0,30659.0,2802.0,3383.0,118.0,738.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,10.0
3412,clarkho02,134.0,0.0,302.0,36.0,79.0,18.0,1.0,3.0,26.0,1.0,1.0,28.0,36.0,1.0,4.0,6.0,3.0,11.0,0.0,,,,,,,,,,,,,,,,,,84.0,62.0,1595.0,199.0,68.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0
3413,clarkja01,1994.0,0.0,6847.0,1118.0,1826.0,332.0,39.0,340.0,1180.0,77.0,61.0,1262.0,1441.0,127.0,24.0,9.0,83.0,174.0,0.0,14.0,47.0,5.0,14.0,2.0,0.0,1.0,8.0,0.0,0.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,1623.0,1569.0,41519.0,7127.0,456.0,105.0,500.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,340.0,108.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0
3414,clarkje01,516.0,0.0,1609.0,170.0,414.0,79.0,16.0,44.0,208.0,17.0,8.0,83.0,295.0,7.0,21.0,5.0,10.0,37.0,0.0,,,,,,,,,,,,,,,,,,470.0,413.0,10958.0,1273.0,56.0,19.0,48.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7.0
3415,clarkje02,46.0,0.0,78.0,9.0,12.0,3.0,0.0,0.0,9.0,3.0,2.0,8.0,13.0,0.0,2.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,38.0,20.0,587.0,50.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4.0
