,count,mean,std,min,25%,50%,75%,max
Roberto Clemente Award,20985.0,0.0026209197045508697,0.05112900407753718,0.0,0.0,0.0,0.0,1.0
Rookie of the Month,20985.0,0.013438170121515368,0.14184706141055847,0.0,0.0,0.0,0.0,4.0
Rookie of the Year,20985.0,0.007433881343817012,0.08590093353794173,0.0,0.0,0.0,0.0,1.0
SIlver Slugger,20985.0,0.0002382654276864427,0.02070848702921467,0.0,0.0,0.0,0.0,2.0
Silver Slugger,20985.0,0.03859899928520372,0.38016583020184597,0.0,0.0,0.0,0.0,12.0
TSN All-Star,20985.0,0.07381462949725995,0.5153320803297624,0.0,0.0,0.0,0.0,13.0
TSN Comeback Player of the Year,20985.0,0.005718370264474625,0.07970643919481421,0.0,0.0,0.0,0.0,2.0
TSN Fireman of the Year,20985.0,0.004193471527281391,0.09506277760676544,0.0,0.0,0.0,0.0,5.0
TSN Guide MVP,20985.0,0.0015725518227305219,0.050232069989265764,0.0,0.0,0.0,0.0,3.0
TSN Major League Player of the Year,20985.0,0.004288777698355968,0.08215026553160534,0.0,0.0,0.0,0.0,5.0
TSN Pitcher of the Year,20985.0,0.007290922087205147,0.1207353898230793,0.0,0.0,0.0,0.0,5.0
TSN Player of the Year,20985.0,0.004384083869430545,0.08038598989576325,0.0,0.0,0.0,0.0,3.0
TSN Reliever of the Year,20985.0,0.001858470335954253,0.05476160498490846,0.0,0.0,0.0,0.0,3.0
TSN Rookie Pitcher of the Year,20985.0,0.003907553014057661,0.06238965885211695,0.0,0.0,0.0,0.0,1.0
TSN Rookie Player of the Year,20985.0,0.003907553014057661,0.06238965885211695,0.0,0.0,0.0,0.0,1.0
TSN Rookie of the Year,20985.0,0.0036692875863712174,0.060464850405599714,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Bounceback Player,20985.0,4.765308553728854e-05,0.006903121434343201,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Breakout Player,20985.0,4.765308553728854e-05,0.0069031214343432,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Defensive Player,20985.0,0.0001429592566118656,0.011955987247534133,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Major Leaguer,20985.0,0.0001429592566118656,0.011955987247534132,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Major Leaguer - Postseason,20985.0,0.00038122468429830833,0.027610511842544365,0.0,0.0,0.0,0.0,2.0
This Year in Baseball Best Moment,20985.0,4.765308553728854e-05,0.0069031214343432,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Performance,20985.0,0.0001429592566118656,0.01543555454097233,0.0,0.0,0.0,0.0,2.0
