,playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,post_W,post_L,post_G,post_GS,post_CG,post_SHO,post_SV,post_IPouts,post_H,post_ER,post_HR,post_BB,post_SO,post_BAOpp,post_ERA,post_IBB,post_WP,post_HBP,post_BK,post_BFP,post_GF,post_R,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
20223,willial03,35.0,38.0,120.0,97.0,15.0,1.0,2.0,1928.0,670.0,303.0,68.0,227.0,262.0,1.351,21.72,17.0,18.0,12.0,9.0,2752.0,12.0,330.0,13.0,19.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,97.0,1928.0,43.0,77.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0
20224,willial04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,59.0,1627.0,69.0,133.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20225,william01,0.0,2.0,19.0,0.0,0.0,0.0,0.0,76.0,37.0,20.0,9.0,9.0,16.0,0.7370000000000001,24.66,2.0,0.0,1.0,0.0,121.0,6.0,20.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.0,76.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20226,willian01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,279.0,82.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20227,williar01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,0.0,1116.0,228.0,15.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20228,williau01,0.0,1.0,12.0,0.0,0.0,0.0,0.0,30.0,15.0,12.0,7.0,7.0,9.0,1.103,167.59,2.0,1.0,0.0,0.0,51.0,4.0,12.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20229,willibe01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,36.0,1056.0,73.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4.0
20230,willibe02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924.0,1884.0,49988.0,4710.0,65.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,118.0,117.0,3232.0,275.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
20231,willibi01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,2161.0,57346.0,4367.0,219.0,113.0,96.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,18.0
20232,willibi02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,78.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
